2025-11-14T15:24:10.3320559+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T15:24:10.3510509+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
2025-11-14T15:43:30.1750462+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T15:43:30.1986598+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
2025-11-14T17:31:43.6164848+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T17:31:43.6329193+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
2025-11-14T17:37:23.0174806+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T17:37:23.0372412+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
2025-11-14T18:01:32.3960491+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T18:01:32.4194252+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
2025-11-14T18:14:57.6383782+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T18:14:57.6574585+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
2025-11-14T18:25:03.0804205+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T18:25:03.0989365+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
2025-11-14T18:33:21.8286029+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T18:33:21.8485969+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
2025-11-14T18:38:48.2733754+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T18:38:48.2902599+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
